PMID,Publisher,DOI,PMCID
28831842,Drug Deliv,10.1080/10717544.2017.1365392,PMC8241019
39537766,Sci Rep,10.1038/s41598-024-78422-2,PMC11561084
25984604,Int J Mol Sci,10.3390/ijms160510821,PMC4463677
37359788,F1000Res,10.12688/f1000research.130749.2,PMC10285354
33840320,Drug Deliv,10.1080/10717544.2021.1909179,PMC8057080
29190663,PLoS One,10.1371/journal.pone.0188848,PMC5708845
30294884,Adv Mater,10.1002/adma.201804693,PMC6487258
34961897,AAPS PharmSciTech,10.1208/s12249-021-02176-7,PMC8816498
41303866,Medicina (Kaunas),10.3390/medicina61112030,PMC12654337
30990813,PLoS One,10.1371/journal.pone.0214544,PMC6467382
39143900,Nanomedicine (Lond),10.1080/17435889.2024.2386923,PMC11485813
38949622,Ther Deliv,10.1080/20415990.2024.2363136,PMC11412148
40745200,Sci Rep,10.1038/s41598-025-13679-9,PMC12314098
24554238,AAPS PharmSciTech,10.1208/s12249-014-0096-9,PMC4037486
30627887,AAPS PharmSciTech,10.1208/s12249-018-1287-6,PMC10290815
24668136,AAPS PharmSciTech,10.1208/s12249-014-0103-1,PMC4113608
38687316,Indian J Pharmacol,10.4103/ijp.ijp_370_23,PMC11160998
39779651,Drug Deliv Transl Res,10.1007/s13346-024-01776-7,PMC12213998
39941060,Int J Mol Sci,10.3390/ijms26031292,PMC11818740
41275044,Sci Rep,10.1038/s41598-025-29481-6,PMC12749576
33920853,Int J Mol Sci,10.3390/ijms22084077,PMC8071307
40363811,Molecules,10.3390/molecules30092007,PMC12073651
31111044,Biomed Res Int,10.1155/2019/2382563,PMC6487130
22763362,Toxicol Appl Pharmacol,10.1016/j.taap.2012.06.017,PMC3422440
24410445,Biomacromolecules,10.1021/bm4015232,PMC3981107
34215824,Sci Rep,10.1038/s41598-021-93263-z,PMC8253736
36234983,Molecules,10.3390/molecules27196447,PMC9572722
31878099,Biomolecules,10.3390/biom10010025,PMC7022861
21904451,Int J Nanomedicine,10.2147/IJN.S23597,PMC3160947
39527597,PLoS One,10.1371/journal.pone.0313517,PMC11554217
23797305,AAPS PharmSciTech,10.1208/s12249-013-9996-3,PMC3755175
26927034,Molecules,10.3390/molecules21030248,PMC6274454
19757079,AAPS PharmSciTech,10.1208/s12249-009-9306-2,PMC2799572
23935362,Int J Nanomedicine,10.2147/IJN.S48214,PMC3735276
35630561,Molecules,10.3390/molecules27103085,PMC9145325
33370213,J Ocul Pharmacol Ther,10.1089/jop.2020.0085,PMC7984652
19536653,AAPS PharmSciTech,10.1208/s12249-009-9268-4,PMC2802135
23180162,AAPS J,10.1208/s12248-012-9433-7,PMC3535117
36985803,Molecules,10.3390/molecules28062827,PMC10055996
29600438,Pharm Res,10.1007/s11095-018-2391-8,PMC6362828
31573544,IET Nanobiotechnol,10.1049/iet-nbt.2018.5248,PMC8676538
23775389,AAPS PharmSciTech,10.1208/s12249-013-9990-9,PMC3755138
29160824,Molecules,10.3390/molecules22112022,PMC6150303
29317755,Sci Rep,10.1038/s41598-017-18644-9,PMC5760660
29195915,Int J Pharm,10.1016/j.ijpharm.2017.11.062,PMC5803428
19381825,AAPS PharmSciTech,10.1208/s12249-009-9233-2,PMC2690796
41097012,Int J Mol Sci,10.3390/ijms26199746,PMC12524853
30154336,Molecules,10.3390/molecules23092164,PMC6225355
31858441,Drug Deliv Transl Res,10.1007/s13346-019-00703-5,PMC7447668
33345632,Drug Deliv,10.1080/10717544.2020.1859001,PMC7875557
24901206,Drug Deliv,10.3109/10717544.2014.923068,PMC4380874
30678282,Nutrients,10.3390/nu11020244,PMC6412563
33787445,Drug Deliv,10.1080/10717544.2021.1902023,PMC8023249
40644360,PLoS One,10.1371/journal.pone.0327368,PMC12250206
26757437,PLoS One,10.1371/journal.pone.0146804,PMC4710382
39592695,Sci Rep,10.1038/s41598-024-81122-6,PMC11599770
22350738,AAPS PharmSciTech,10.1208/s12249-012-9762-y,PMC3364378
4037770,Antimicrob Agents Chemother,10.1128/AAC.28.1.103,PMC176318
41011602,Molecules,10.3390/molecules30183711,PMC12472576
38811465,Drug Deliv Transl Res,10.1007/s13346-024-01635-5,PMC11208213
33501873,Drug Deliv,10.1080/10717544.2021.1872741,PMC7850330
36036168,Drug Deliv,10.1080/10717544.2022.2115165,PMC9429977
35134800,Med Princ Pract,10.1159/000522380,PMC9210007
29581972,Biomed Res Int,10.1155/2018/4057959,PMC5822824
26197311,Molecules,10.3390/molecules200713226,PMC6332159
19333762,AAPS PharmSciTech,10.1208/s12249-009-9213-6,PMC2690776
19415505,AAPS PharmSciTech,10.1208/s12249-009-9235-0,PMC2690798
30560466,Pharm Res,10.1007/s11095-018-2555-6,PMC6297200
25825339,Br J Pharmacol,10.1111/bph.13149,PMC4507162
40145792,Adv Sci (Weinh),10.1002/advs.202414559,PMC12140362
28181841,Drug Deliv,10.1080/10717544.2016.1269849,PMC8253139
20034563,Eur J Pharm Biopharm,10.1016/j.ejpb.2009.12.007,PMC7127408
34145458,J Burn Care Res,10.1093/jbcr/irab118,PMC8633125
25546392,PLoS One,10.1371/journal.pone.0115952,PMC4278799
19632718,Biomaterials,10.1016/j.biomaterials.2009.06.061,PMC2774808
30871528,BMC Biotechnol,10.1186/s12896-019-0508-8,PMC6419361
34948081,Int J Mol Sci,10.3390/ijms222413284,PMC8705699
34576253,Int J Mol Sci,10.3390/ijms221810091,PMC8472396
20038446,Int J Pharm,10.1016/j.ijpharm.2009.12.040,PMC3086023
34641471,Molecules,10.3390/molecules26195928,PMC8512928
22365945,Toxicology,10.1016/j.tox.2012.02.005,PMC3325481
32751258,Molecules,10.3390/molecules25153451,PMC7435401
40429615,Int J Mol Sci,10.3390/ijms26104469,PMC12110985
37570859,Molecules,10.3390/molecules28155889,PMC10420664
23049254,Int J Nanomedicine,10.2147/IJN.S34612,PMC3459840
25962136,PLoS One,10.1371/journal.pone.0126120,PMC4427474
34563723,Acta Biomater,10.1016/j.actbio.2021.09.038,PMC8709543
33093596,Sci Rep,10.1038/s41598-020-75017-5,PMC7582846
30646557,Mar Drugs,10.3390/md17010055,PMC6356945
41228521,Nutrients,10.3390/nu17213450,PMC12608445
40531227,Naunyn Schmiedebergs Arch Pharmacol,10.1007/s00210-025-04356-9,PMC12678503
23269869,Int J Nanomedicine,10.2147/IJN.S38927,PMC3529648
20003214,BMC Infect Dis,10.1186/1471-2334-9-198,PMC2807870
19778268,J Aerosol Med Pulm Drug Deliv,10.1089/jamp.2009.0766,PMC3116510
33922399,Int J Mol Sci,10.3390/ijms22094404,PMC8122816
39274920,Molecules,10.3390/molecules29174073,PMC11396586
16996662,Vaccine,10.1016/j.vaccine.2006.07.055,PMC3488425
39454183,Mol Pharm,10.1021/acs.molpharmaceut.4c00686,PMC11615953
38502267,Drug Deliv Transl Res,10.1007/s13346-024-01548-3,PMC11445320
29181835,Drug Deliv Transl Res,10.1007/s13346-017-0435-y,PMC5832579
22172292,Int J Pharm,10.1016/j.ijpharm.2011.11.043,PMC3273581
22019759,Acta Biomater,10.1016/j.actbio.2011.10.001,PMC3972821
18471921,J Control Release,10.1016/j.jconrel.2008.03.013,PMC2556066
21530623,Int J Pharm,10.1016/j.ijpharm.2011.04.017,PMC3123904
27835636,PLoS One,10.1371/journal.pone.0165477,PMC5105989
33477555,Molecules,10.3390/molecules26020484,PMC7831126
29101176,Am J Physiol Heart Circ Physiol,10.1152/ajpheart.00471.2017,PMC5867653
26993989,JPEN J Parenter Enteral Nutr,10.1177/0148607116640275,PMC5438312
22510447,Nutr J,10.1186/1475-2891-11-26,PMC3411489
28690160,J Control Release,10.1016/j.jconrel.2017.07.003,PMC5641977
37298882,Molecules,10.3390/molecules28114406,PMC10254643
31242332,Biopharm Drug Dispos,10.1002/bdd.2194,PMC6771745
22130789,AAPS PharmSciTech,10.1208/s12249-011-9721-z,PMC3299443
15760075,AAPS PharmSciTech,10.1208/pt050342,PMC2750265
24504495,AAPS PharmSciTech,10.1208/s12249-014-0072-4,PMC4037477
34694732,IET Nanobiotechnol,10.1049/nbt2.12010,PMC8675772
23137392,Pharm Dev Technol,10.3109/10837450.2012.737806,PMC4406287
25962161,PLoS One,10.1371/journal.pone.0126366,PMC4427132
33930049,PLoS One,10.1371/journal.pone.0250876,PMC8087016
40465206,Drug Deliv Transl Res,10.1007/s13346-025-01884-y,PMC12507977
32738657,Biomaterials,10.1016/j.biomaterials.2020.120238,PMC7442737
38493177,Sci Rep,10.1038/s41598-024-55953-2,PMC10944529
35764754,Pharm Res,10.1007/s11095-022-03317-8,PMC9633373
25535080,Int J Mol Sci,10.3390/ijms151223909,PMC4284797
14727869,AAPS PharmSciTech,10.1208/pt020310,PMC2750575
24550699,ScientificWorldJournal,10.1155/2014/268107,PMC3914481
22937885,J Nanobiotechnology,10.1186/1477-3155-10-38,PMC3497871
17025252,AAPS PharmSciTech,10.1208/pt070372,PMC2750514
22150673,J Pharm Pharmacol,10.1111/j.2042-7158.2011.01376.x,PMC3319145
17408212,AAPS PharmSciTech,10.1208/pt0801012,PMC2750447
21748539,AAPS PharmSciTech,10.1208/s12249-011-9661-7,PMC3167258
29558494,PLoS One,10.1371/journal.pone.0193451,PMC5860693
20939702,J Microencapsul,10.3109/02652048.2010.520093,PMC4516232
31811762,IET Nanobiotechnol,10.1049/iet-nbt.2019.0035,PMC8676593
20632449,World J Gastroenterol,10.3748/wjg.v16.i27.3437,PMC2904893
21371545,Int J Pharm,10.1016/j.ijpharm.2011.02.037,PMC3079786
36369759,Drug Deliv,10.1080/10717544.2022.2144545,PMC9665077
37856525,PLoS One,10.1371/journal.pone.0292861,PMC10586653
19381834,AAPS PharmSciTech,10.1208/s12249-009-9220-7,PMC2690783
16584158,AAPS PharmSciTech,10.1208/pt070127,PMC2750734
35507250,Appl Biochem Biotechnol,10.1007/s12010-022-03812-z,PMC9066387
28596597,Sci Rep,10.1038/s41598-017-03259-x,PMC5465058
26325309,Int J Pharm,10.1016/j.ijpharm.2015.08.089,PMC4609624
22114486,Int J Nanomedicine,10.2147/IJN.S24547,PMC3215163
19337417,Int J Nanomedicine,10.2147/ijn.s3938,PMC2636584
25541985,PLoS One,10.1371/journal.pone.0114835,PMC4277280
25080136,J Vis Exp,10.3791/51874,PMC4219633
36078325,Int J Environ Res Public Health,10.3390/ijerph191710609,PMC9518205
38802678,Drug Deliv Transl Res,10.1007/s13346-024-01620-y,PMC11599469
25690029,Int J Mol Sci,10.3390/ijms16023990,PMC4346939
23025592,Mol Pharm,10.1021/mp3004379,PMC3579655
8726020,Antimicrob Agents Chemother,10.1128/AAC.40.6.1467,PMC163350
17025242,AAPS PharmSciTech,10.1208/pt070361,PMC2750503
39165831,J Pharm Pharm Sci,10.3389/jpps.2024.13148,PMC11333243
28036045,Int J Mol Sci,10.3390/ijms18010054,PMC5297689
18956141,Pharm Res,10.1007/s11095-008-9744-7,PMC3088359
36355017,Mar Drugs,10.3390/md20110694,PMC9693061
41326703,Appl Microbiol Biotechnol,10.1007/s00253-025-13650-8,PMC12672839
28399890,J Nanobiotechnology,10.1186/s12951-017-0262-9,PMC5387208
34220835,Front Immunol,10.3389/fimmu.2021.684612,PMC8244784
37925581,Sci Rep,10.1038/s41598-023-46215-8,PMC10625596
40363686,Molecules,10.3390/molecules30091878,PMC12073386
32378175,Drug Deliv Transl Res,10.1007/s13346-020-00758-9,PMC7647946
35708451,Drug Deliv,10.1080/10717544.2022.2083725,PMC9225707
39994380,Sci Rep,10.1038/s41598-025-91504-z,PMC11850822
35039793,Biomed Res Int,10.1155/2022/1558860,PMC8760534
26561725,Int J Pharm,10.1016/j.ijpharm.2015.11.002,PMC4688050
28089548,Vaccine,10.1016/j.vaccine.2016.12.057,PMC5301946
30999569,Molecules,10.3390/molecules24081501,PMC6514815
21943300,J Nanobiotechnology,10.1186/1477-3155-9-42,PMC3213063
27960411,ACS Appl Mater Interfaces,10.1021/acsami.6b08153,PMC5206908
29119735,J Zhejiang Univ Sci B,10.1631/jzus.B1600389,PMC5696316
28091781,Graefes Arch Clin Exp Ophthalmol,10.1007/s00417-016-3572-y,PMC5364248
37834475,Int J Mol Sci,10.3390/ijms241915027,PMC10573130
24793657,Acta Biomater,10.1016/j.actbio.2014.04.024,PMC4106702
31758056,Sci Rep,10.1038/s41598-019-53996-4,PMC6874704
23429428,Int J Nanomedicine,10.2147/IJN.S38011,PMC3575164
31534201,Acta Pharmacol Sin,10.1038/s41401-019-0288-7,PMC7471442
21980233,Int J Nanomedicine,10.2147/IJN.S20165,PMC3184929
26318804,Acta Biomater,10.1016/j.actbio.2015.08.039,PMC4609638
24224161,Biomed Res Int,10.1155/2013/387863,PMC3808721
30513093,PLoS One,10.1371/journal.pone.0208067,PMC6279041
